issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
26,[Matt - 19FEB] Research Screen Share for Demo,2017-02-08T21:27:40Z,converted_note_to_issue,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
26,[Matt - 19FEB] Research Screen Share for Demo,2017-02-09T14:52:15Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
26,[Matt - 19FEB] Research Screen Share for Demo,2017-02-09T14:52:15Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
26,[Matt - 19FEB] Research Screen Share for Demo,2017-02-20T17:51:14Z,moved_columns_in_project,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
26,[Matt - 19FEB] Research Screen Share for Demo,2017-02-22T21:44:12Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
31,"[optional] Improve back up plan(better outlook, sync with up-to-date db setting, include google api features)",2017-02-09T14:54:00Z,converted_note_to_issue,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
31,"[optional] Improve back up plan(better outlook, sync with up-to-date db setting, include google api features)",2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
31,"[optional] Improve back up plan(better outlook, sync with up-to-date db setting, include google api features)",2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
31,"[optional] Improve back up plan(better outlook, sync with up-to-date db setting, include google api features)",2017-03-14T03:17:52Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
15,Second level prototyping (due 13FEB),2017-01-31T02:30:12Z,renamed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
